first,next,count
h,e,0.040518686813568405
t,h,0.03909993749565942
i,n,0.02320597660551824
e,r,0.021350689035944958
a,n,0.018453662456718225
o,u,0.017243260940739934
i,t,0.015229232188743266
n,d,0.014584346135148274
a,t,0.01398906670106059
r,e,0.013830325518637207
o,n,0.013512843153790442
n,g,0.012550474735348685
h,a,0.012262756342206305
e,n,0.011766690147133234
t,o,0.011270623952060162
e,d,0.011042433502326551
t,e,0.010566209955056402
a,l,0.010367783477027175
l,i,0.009633605508319031
o,r,0.00948478564979711
a,s,0.00948478564979711
s,e,0.009048247398132807
a,r,0.00879029297669481
h,i,0.008701001061581658
s,h,0.008681158413778735
l,e,0.00857202385086266
e,a,0.008443046640143661
c,e,0.008165249570902741
n,t,0.00794698044507059
l,l,0.00794698044507059
v,e,0.007768396614844285
a,i,0.0077386326431399
e,s,0.007669183375829671
s,t,0.007639419404125287
o,f,0.007629498080223825
u,t,0.007579891460716518
i,d,0.007569970136815056
i,s,0.007331858363179983
i,c,0.00710366791344637
t,i,0.0067762642246981435
s,a,0.0066076017183732995
b,e,0.006567916422767454
m,e,0.00653815245106307
n,e,0.006290119353526535
h,o,0.006161142142807536
n,o,0.006052007579891461
w,a,0.006032164932088538
y,o,0.005823817130157848
u,r,0.005794053158453464
o,w,0.005665075947734466
r,o,0.005645233299931543
e,e,0.005635311976030081
d,e,0.005585705356522775
w,h,0.00548649211750816
c,h,0.005218616372168702
u,s,0.005188852400464318
e,",",0.005109481809252627
d,o,0.004980504598533628
a,d,0.004970583274632167
e,l,0.004930897979026321
o,t,0.00492097665512486
o,o,0.004801920768307323
l,y,0.004772156796602939
r,i,0.0046630222336868634
w,i,0.00464317958588394
c,o,0.004623336938081018
s,o,0.004474517079559096
i,l,0.004295933249332791
f,o,0.004137192066909408
m,a,0.004037978827894795
r,y,0.003988372208387487
r,a,0.003928844264978719
l,a,0.00386931632156995
r,s,0.0038197097020626434
k,e,0.003789945730358259
w,e,0.0036808111674421834
c,a,0.003670889843540722
w,o,0.0036609685196392606
t,t,0.0036312045479348766
u,l,0.003621283224033415
e,t,0.0036113619001319538
l,o,0.0035716766045261077
o,m,0.003551833956723185
l,d,0.0035121486611173394
g,e,0.003452620717708571
p,e,0.0033930927742998026
i,o,0.0033732501264968798
m,o,0.003363328802595418
u,n,0.0033236435069895725
t,a,0.0033236435069895725
g,h,0.0033236435069895725
d,i,0.0032740368874822658
s,i,0.0032045876201720357
e,m,0.003184744972369113
i,m,0.003085531733354499
t,s,0.003065689085551576
e,c,0.0030557677616501145
a,y,0.0030260037899457306
r,t,0.0030061611421428073
t,",",0.002996239818241346
t,l,0.002996239818241346
s,",",0.0027978133402121177
t,r,0.0027382853968033493
e,.,0.0026886787772960425
g,r,0.0025497802426755825
h,t,0.0025200162709711985
b,u,0.0024505670036609685
p,r,0.0024307243558580457
a,b,0.002410881708055123
s,s,0.002410881708055123
a,g,0.0023811177363507385
c,t,0.0023711964124492773
i,r,0.002341432440744893
q,u,0.002341432440744893
i,g,0.00232158979294197
b,o,0.0023017471451390473
i,e,0.0023017471451390473
u,p,0.0022620618495332017
g,a,0.00225214052563174
o,k,0.002242219201730279
p,l,0.002242219201730279
t,u,0.0022124552300258945
n,i,0.0022124552300258945
n,c,0.0022025339061244333
e,y,0.0022025339061244333
n,s,0.002143005962715665
o,l,0.0021330846388142033
k,i,0.0021330846388142033
n,",",0.0021330846388142033
d,",",0.002123163314912742
e,v,0.0020933993432083577
a,c,0.0020933993432083577
m,i,0.0020834780193068965
a,m,0.002073556695405435
p,o,0.0020437927237010505
g,o,0.002004107428095205
y,",",0.0019644221324893593
u,c,0.001954500808587898
i,f,0.0019247368368835137
f,i,0.0019048941890805909
c,k,0.0018949728651791295
r,d,0.0018453662456718225
p,a,0.0018255235978688997
s,u,0.0018255235978688997
a,v,0.0017957596261645155
r,g,0.0017759169783615925
u,g,0.0017560743305586697
r,",",0.0017560743305586697
f,e,0.0017560743305586697
u,e,0.0017362316827557469
e,p,0.0016767037393469785
o,s,0.0015675691764309029
o,p,0.0015378052047265187
r,k,0.0015278838808250573
w,n,0.0015179625569235959
l,f,0.0014683559374162889
a,p,0.0014584346135148275
p,i,0.0014584346135148275
i,v,0.0014286706418104433
f,f,0.0014088279940075203
g,u,0.0013989066701060589
k,n,0.0013989066701060589
r,m,0.0013889853462045975
n,a,0.0013889853462045975
n,y,0.001379064022303136
m,u,0.0013592213745002133
b,l,0.0013393787266972905
a,k,0.001329457402795829
e,g,0.0013195360788943677
p,p,0.0012996934310914449
d,a,0.0012897721071899835
c,r,0.001279850783288522
e,x,0.0012600081354855993
f,u,0.0012500868115841379
s,.,0.0012401654876826765
n,.,0.0012401654876826765
f,r,0.001230244163781215
o,i,0.001230244163781215
b,i,0.0012203228398797534
o,c,0.0011905588681753692
c,u,0.0011905588681753692
o,d,0.0011707162203724465
f,a,0.001160794896470985
n,k,0.0011508735725695237
b,y,0.0011310309247666009
o,v,0.0011211096008651395
g,",",0.0011211096008651395
e,i,0.0011012669530622167
j,e,0.0010814243052592939
r,r,0.0010814243052592939
y,e,0.001061581657456371
m,p,0.0010516603335549097
r,n,0.0010417390096534483
e,f,0.0010318176857519866
d,.,0.0010318176857519866
d,r,0.0010218963618505252
s,p,0.0010218963618505252
j,u,0.0010218963618505252
v,i,0.0010119750379490638
n,l,0.0010020537140476024
t,.,0.000992132390146141
i,k,0.0009822110662446796
n,b,0.0009722897423432182
g,i,0.0009623684184417568
d,s,0.0009623684184417568
u,i,0.0009326044467373726
h,r,0.0009226831228359112
c,l,0.0009127617989344498
h,",",0.0009127617989344498
r,.,0.0008929191511315269
t,y,0.0008929191511315269
r,u,0.0008929191511315269
a,w,0.0008829978272300655
b,a,0.0008730765033286041
p,u,0.0008730765033286041
o,j,0.0008631551794271427
a,u,0.0008631551794271427
y,.,0.0008433125316242199
f,t,0.0008234698838212971
l,",",0.0008234698838212971
p,h,0.0008135485599198357
t,w,0.0008036272360183743
d,u,0.0007639419404125286
d,d,0.0007639419404125286
t,m,0.0007639419404125286
u,d,0.0007540206165110672
r,p,0.0007540206165110672
o,",",0.0007440992926096058
e,w,0.0007341779687081444
g,l,0.0007341779687081444
a,f,0.0007341779687081444
g,s,0.000724256644806683
m,y,0.000724256644806683
r,c,0.000724256644806683
v,o,0.0007143353209052216
s,l,0.0007044139970037601
l,u,0.0006944926731022987
p,t,0.0006944926731022987
b,b,0.0006746500252993759
k,s,0.0006548073774964531
b,r,0.0006448860535949917
y,i,0.0006448860535949917
d,l,0.0006349647296935303
m,b,0.0006349647296935303
h,u,0.0006250434057920689
